Round: 1
Moved: AI34 2103
Moved: AI35 4328
Moved: AI36 3733
Moved: AI38 4335
Moved: AI39 1382
Moved: AI40 3291
Moved: AI41 2837
Moved: AI42 4209
Moved: AI43 2422
Moved: AI44 2421
Moved: AI45 3778
Moved: AI46 287
Moved: AI47 3481
Moved: AI48 4722
Moved: AI49 4139
Moved: AI50 2340
Moved: AI51 2465
Moved: AI52 1584
Moved: AI53 4770
Moved: AI54 2068
Moved: AI55 3694
Moved: AI56 97
Moved: AI57 4219
Moved: AI58 712
Moved: AI59 2231
Moved: AI60 2353
Moved: AI61 3013
Moved: AI62 4712
Moved: AI63 2753
Moved: AI64 994
Moved: AI65 1517
Moved: AI66 3238
Moved: AI67 3393
Moved: AI68 616
Moved: AI69 2289
Moved: AI70 2011
Moved: AI71 2345
Moved: AI72 3636
Moved: AI73 2698
Moved: AI74 2314
Moved: AI75 4748
Moved: AI76 4287
Moved: AI77 4795
Moved: AI78 2698
Moved: AI79 1791
Moved: AI80 1086
Moved: AI81 1727
Moved: AI82 678
Moved: AI83 1397
Moved: AI84 3216
Moved: AI85 2186
Moved: AI86 1805
Moved: AI88 2960
Moved: AI89 1037
Moved: AI90 1626
Moved: AI91 4653
Moved: AI92 957
Moved: AI93 4118
Moved: AI94 2098
Moved: AI95 2560
Moved: AI97 3960
Moved: AI98 3351
Moved: AI99 511
Moved: DocZom 98
Moved: AI100 697
Moved: AI101 1039
Moved: AI102 4585
Moved: AI103 4393
Moved: AI104 547
Moved: AI105 319
Moved: AI107 2847
Moved: AI108 1471
Moved: AI109 3667
Moved: AI110 3291
Moved: AI111 2688
Moved: AI112 2669
Moved: AI113 4042
Moved: AI114 2181
Moved: AI115 2447
Moved: AI116 1440
Moved: AI117 3304
Moved: AI118 4426
Moved: AI119 1807
Moved: AI120 3242
Moved: AI121 4540
Moved: AI122 1807
Moved: AI124 1263
Moved: AI125 3324
Moved: AI126 2914
Moved: AI127 2663
Moved: AI128 3163
Moved: AI129 750
Moved: AI130 3189
Moved: AI131 2553
Moved: AI132 1219
Moved: AI134 2567
Moved: AI135 2881
Moved: AI136 401
Moved: AI137 3735
Moved: AI138 3664
Moved: AI139 401
Moved: AI140 378
Moved: AI141 1917
Moved: AI142 2885
Moved: AI143 2236
Moved: AI144 4125
Moved: AI145 2157
Moved: AI147 4710
Moved: AI148 4016
Moved: AI149 1667
Round: 4
Moved: AI0 1778
Moved: AI1 772
Moved: AI2 3328
Moved: AI3 2667
Moved: AI4 1858
Moved: AI5 2451
Moved: AI6 4574
Moved: AI7 4499
Moved: AI8 1060
Moved: AI9 1289
Moved: AI10 4852
Moved: AI11 1671
Moved: AI12 3897
Moved: AI13 1926
Moved: AI15 3762
Moved: AI16 4066
Moved: AI17 553
Moved: AI18 492
Moved: AI19 2571
Moved: AI20 999
Moved: AI21 3885
Moved: AI23 3561
Moved: AI25 3606
Moved: AI26 1743
Moved: AI27 3797
Moved: AI28 3254
Moved: AI29 4759
Moved: AI30 2604
Moved: AI31 1597
Moved: AI32 3889
Moved: AI33 1666
Moved: AI34 2036
Moved: AI35 4327
Moved: AI36 3688
Moved: AI38 4328
Moved: AI39 1355
Moved: AI40 3198
Moved: AI41 2728
Moved: AI42 4179
Moved: AI43 2399
Moved: AI44 2351
Moved: AI45 3730
Moved: AI46 285
Moved: AI47 3368
Moved: AI48 4658
Moved: AI49 4095
Moved: AI50 2324
Moved: AI51 2394
Moved: AI52 1501
Moved: AI53 4655
Moved: AI54 1986
Moved: AI55 3609
Moved: AI57 4101
Moved: AI58 677
Moved: AI59 2212
Moved: AI60 2298
Moved: AI61 2979
Moved: AI62 4692
Moved: AI63 2657
Moved: AI64 932
Moved: AI65 1514
Moved: AI66 3149
Moved: AI67 3368
Moved: AI69 2255
Moved: AI70 1987
Moved: AI71 2320
Moved: AI72 3613
Moved: AI73 2613
Moved: AI74 2252
Moved: AI75 4658
Moved: AI76 4252
Moved: AI77 4707
Moved: AI78 2631
Moved: AI79 1768
Moved: AI80 1046
Moved: AI81 1627
Moved: AI82 665
Moved: AI83 1322
Moved: AI84 3115
Moved: AI85 2137
Moved: AI86 1738
Moved: AI88 2919
Moved: AI89 1016
Moved: AI90 1625
Moved: AI91 4551
Moved: AI93 4031
Moved: AI94 1979
Moved: AI95 2556
Moved: AI97 3940
Moved: AI98 3317
Moved: DocZom 97
Moved: AI101 948
Moved: AI102 4572
Moved: AI103 4307
Moved: AI104 537
Moved: AI105 293
Moved: AI107 2757
Moved: AI108 1379
Moved: AI109 3577
Moved: AI110 3149
Moved: AI111 2683
Moved: AI112 2607
Moved: AI113 3945
Moved: AI114 2140
Moved: AI115 2362
Moved: AI116 1403
Moved: AI117 3268
Moved: AI118 4315
Moved: AI119 1680
Moved: AI120 3146
Moved: AI121 4505
Moved: AI122 1766
Moved: AI124 1246
Moved: AI125 3282
Moved: AI126 2901
Moved: AI127 2528
Moved: AI128 3056
Moved: AI130 3048
Moved: AI131 2519
Moved: AI132 1200
Moved: AI134 2556
Moved: AI135 2777
Moved: AI136 388
Moved: AI137 3699
Moved: AI138 3600
Moved: AI141 1841
Moved: AI142 2813
Moved: AI143 2151
Moved: AI144 4012
Moved: AI145 2074
Moved: AI147 4671
Moved: AI148 4012
Moved: AI149 1663
Round: 5
Moved: AI0 1671
Moved: AI1 767
Moved: AI2 3287
Moved: AI3 2590
Moved: AI4 1756
Moved: AI5 2350
Moved: AI6 4437
Moved: AI7 4439
Moved: AI10 4842
Moved: AI11 1610
Moved: AI12 3876
Moved: AI13 1803
Moved: AI15 3716
Moved: AI16 4007
Moved: AI17 523
Moved: AI19 2520
Moved: AI20 967
Moved: AI21 3796
Moved: AI23 3548
Moved: AI25 3479
Moved: AI26 1645
Moved: AI27 3781
Moved: AI28 3249
Moved: AI29 4741
Moved: AI30 2540
Moved: AI31 1506
Moved: AI32 3786
Moved: AI33 1559
Moved: AI34 1973
Moved: AI35 4326
Moved: AI36 3649
Moved: AI38 4320
Moved: AI39 1326
Moved: AI40 3090
Moved: AI41 2630
Moved: AI42 4149
Moved: AI43 2377
Moved: AI44 2286
Moved: AI45 3674
Moved: AI46 283
Moved: AI47 3269
Moved: AI48 4602
Moved: AI49 4040
Moved: AI50 2310
Moved: AI51 2337
Moved: AI52 1428
Moved: AI53 4565
Moved: AI54 1879
Moved: AI55 3533
Moved: AI57 3977
Moved: AI58 640
Moved: AI59 2187
Moved: AI60 2248
Moved: AI61 2940
Moved: AI62 4678
Moved: AI63 2575
Moved: AI64 862
Moved: AI65 1511
Moved: AI66 3065
Moved: AI67 3342
Moved: AI69 2226
Moved: AI70 1964
Moved: AI71 2292
Moved: AI72 3591
Moved: AI73 2516
Moved: AI74 2181
Moved: AI75 4564
Moved: AI76 4216
Moved: AI77 4591
Moved: AI78 2554
Moved: AI79 1746
Moved: AI80 998
Moved: AI81 1517
Moved: AI82 652
Moved: AI83 1230
Moved: AI84 3004
Moved: AI85 2081
Moved: AI86 1671
Moved: AI88 2881
Moved: AI89 991
Moved: AI90 1624
Moved: AI91 4438
Moved: AI93 3946
Moved: AI94 1873
Moved: AI95 2551
Moved: AI97 3922
Moved: AI98 3286
Moved: DocZom 96
Moved: AI102 4560
Moved: AI103 4230
Moved: AI104 525
Moved: AI107 2677
Moved: AI108 1299
Moved: AI109 3464
Moved: AI110 3034
Moved: AI111 2678
Moved: AI112 2534
Moved: AI113 3861
Moved: AI114 2101
Moved: AI115 2283
Moved: AI116 1360
Moved: AI117 3236
Moved: AI118 4222
Moved: AI119 1551
Moved: AI120 3052
Moved: AI121 4459
Moved: AI122 1720
Moved: AI124 1224
Moved: AI125 3239
Moved: AI126 2889
Moved: AI127 2396
Moved: AI128 2968
Moved: AI130 2915
Moved: AI131 2485
Moved: AI132 1180
Moved: AI134 2541
Moved: AI135 2675
Moved: AI136 374
Moved: AI137 3653
Moved: AI138 3545
Moved: AI141 1766
Moved: AI142 2729
Moved: AI143 2071
Moved: AI144 3874
Moved: AI145 1971
Moved: AI147 4641
Moved: AI148 4007
Moved: AI149 1658
Round: 6
Moved: AI0 1567
Moved: AI1 763
Moved: AI2 3248
Moved: AI3 2504
Moved: AI5 2248
Moved: AI6 4316
Moved: AI7 4382
Moved: AI10 4834
Moved: AI11 1560
Moved: AI12 3851
Moved: AI13 1682
Moved: AI15 3657
Moved: AI16 3928
Moved: AI17 493
Moved: AI19 2464
Moved: AI20 938
Moved: AI21 3730
Moved: AI23 3536
Moved: AI25 3370
Moved: AI27 3761
Moved: AI28 3244
Moved: AI29 4719
Moved: AI30 2480
Moved: AI31 1433
Moved: AI32 3670
Moved: AI34 1918
Moved: AI35 4325
Moved: AI36 3609
Moved: AI38 4313
Moved: AI39 1296
Moved: AI40 2981
Moved: AI41 2528
Moved: AI42 4128
Moved: AI43 2353
Moved: AI44 2206
Moved: AI45 3619
Moved: AI46 281
Moved: AI47 3140
Moved: AI48 4541
Moved: AI49 3997
Moved: AI50 2293
Moved: AI51 2268
Moved: AI52 1369
Moved: AI53 4478
Moved: AI54 1788
Moved: AI55 3442
Moved: AI57 3874
Moved: AI58 614
Moved: AI59 2169
Moved: AI60 2190
Moved: AI61 2897
Moved: AI62 4658
Moved: AI63 2488
Moved: AI65 1508
Moved: AI66 2944
Moved: AI67 3319
Moved: AI69 2191
Moved: AI70 1933
Moved: AI71 2257
Moved: AI72 3573
Moved: AI73 2448
Moved: AI74 2126
Moved: AI75 4480
Moved: AI76 4177
Moved: AI77 4506
Moved: AI78 2475
Moved: AI79 1724
Moved: AI80 955
Moved: AI82 641
Moved: AI84 2879
Moved: AI85 2020
Moved: AI86 1582
Moved: AI88 2842
Moved: AI89 971
Moved: AI90 1623
Moved: AI91 4357
Moved: AI93 3835
Moved: AI94 1777
Moved: AI95 2546
Moved: AI97 3901
Moved: AI98 3254
Moved: DocZom 95
Moved: AI102 4550
Moved: AI103 4165
Moved: AI104 516
Moved: AI107 2588
Moved: AI109 3362
Moved: AI110 2921
Moved: AI111 2672
Moved: AI112 2480
Moved: AI113 3769
Moved: AI114 2058
Moved: AI115 2216
Moved: AI116 1318
Moved: AI117 3210
Moved: AI118 4127
Moved: AI120 2953
Moved: AI121 4416
Moved: AI122 1674
Moved: AI124 1207
Moved: AI125 3202
Moved: AI126 2874
Moved: AI127 2275
Moved: AI128 2892
Moved: AI130 2793
Moved: AI131 2446
Moved: AI132 1153
Moved: AI134 2525
Moved: AI135 2586
Moved: AI136 358
Moved: AI137 3614
Moved: AI138 3492
Moved: AI141 1694
Moved: AI142 2637
Moved: AI143 2005
Moved: AI144 3750
Moved: AI145 1862
Moved: AI147 4597
Moved: AI148 4003
Moved: AI149 1654
Round: 7
Moved: AI1 758
Moved: AI2 3202
Moved: AI3 2415
Moved: AI5 2156
Moved: AI6 4205
Moved: AI7 4315
Moved: AI10 4824
Moved: AI11 1508
Moved: AI12 3830
Moved: AI15 3611
Moved: AI16 3859
Moved: AI17 463
Moved: AI19 2415
Moved: AI20 914
Moved: AI21 3636
Moved: AI23 3520
Moved: AI25 3240
Moved: AI27 3743
Moved: AI28 3238
Moved: AI29 4702
Moved: AI30 2427
Moved: AI32 3556
Moved: AI34 1854
Moved: AI35 4324
Moved: AI36 3569
Moved: AI38 4306
Moved: AI39 1258
Moved: AI40 2872
Moved: AI41 2418
Moved: AI42 4107
Moved: AI43 2334
Moved: AI44 2114
Moved: AI45 3557
Moved: AI46 279
Moved: AI47 3012
Moved: AI48 4492
Moved: AI49 3959
Moved: AI50 2277
Moved: AI51 2198
Moved: AI52 1284
Moved: AI53 4376
Moved: AI54 1700
Moved: AI55 3352
Moved: AI57 3778
Moved: AI58 586
Moved: AI59 2147
Moved: AI60 2138
Moved: AI61 2865
Moved: AI62 4643
Moved: AI63 2396
Moved: AI65 1504
Moved: AI66 2838
Moved: AI67 3292
Moved: AI69 2153
Moved: AI70 1899
Moved: AI71 2233
Moved: AI72 3551
Moved: AI73 2351
Moved: AI74 2057
Moved: AI75 4407
Moved: AI76 4142
Moved: AI77 4416
Moved: AI78 2391
Moved: AI79 1707
Moved: AI80 916
Moved: AI82 627
Moved: AI84 2771
Moved: AI85 1955
Moved: AI86 1498
Moved: AI88 2794
Moved: AI89 947
Moved: AI90 1622
Moved: AI91 4247
Moved: AI93 3734
Moved: AI95 2542
Moved: AI97 3877
Moved: AI98 3221
Moved: DocZom 94
Moved: AI102 4537
Moved: AI103 4086
Moved: AI104 507
Moved: AI107 2515
Moved: AI109 3277
Moved: AI110 2815
Moved: AI111 2666
Moved: AI112 2402
Moved: AI113 3694
Moved: AI114 2028
Moved: AI115 2135
Moved: AI116 1281
Moved: AI117 3174
Moved: AI118 4015
Moved: AI120 2826
Moved: AI121 4383
Moved: AI122 1631
Moved: AI124 1191
Moved: AI125 3150
Moved: AI126 2862
Moved: AI128 2797
Moved: AI130 2658
Moved: AI131 2404
Moved: AI132 1134
Moved: AI134 2514
Moved: AI135 2465
Moved: AI136 340
Moved: AI137 3577
Moved: AI138 3433
Moved: AI142 2540
Moved: AI143 1920
Moved: AI144 3640
Moved: AI145 1776
Moved: AI147 4560
Moved: AI148 3998
Moved: AI149 1649
Round: 8
Moved: AI1 754
Moved: AI2 3163
Moved: AI3 2329
Moved: AI6 4100
Moved: AI7 4244
Moved: AI10 4815
Moved: AI11 1453
Moved: AI12 3810
Moved: AI15 3552
Moved: AI16 3799
Moved: AI19 2374
Moved: AI20 888
Moved: AI21 3548
Moved: AI23 3503
Moved: AI25 3149
Moved: AI27 3726
Moved: AI28 3233
Moved: AI29 4684
Moved: AI30 2372
Moved: AI32 3457
Moved: AI34 1791
Moved: AI35 4323
Moved: AI36 3533
Moved: AI38 4300
Moved: AI39 1228
Moved: AI40 2761
Moved: AI41 2297
Moved: AI42 4077
Moved: AI43 2313
Moved: AI44 2027
Moved: AI45 3513
Moved: AI46 277
Moved: AI47 2897
Moved: AI48 4441
Moved: AI49 3918
Moved: AI50 2263
Moved: AI51 2140
Moved: AI53 4285
Moved: AI55 3253
Moved: AI57 3680
Moved: AI59 2121
Moved: AI60 2085
Moved: AI61 2833
Moved: AI62 4624
Moved: AI63 2302
Moved: AI65 1501
Moved: AI66 2737
Moved: AI67 3267
Moved: AI69 2119
Moved: AI70 1872
Moved: AI71 2202
Moved: AI72 3531
Moved: AI73 2284
Moved: AI74 1996
Moved: AI75 4304
Moved: AI76 4097
Moved: AI77 4327
Moved: AI78 2326
Moved: AI79 1691
Moved: AI82 615
Moved: AI84 2661
Moved: AI85 1887
Moved: AI86 1421
Moved: AI88 2747
Moved: AI89 926
Moved: AI90 1621
Moved: AI91 4143
Moved: AI93 3630
Moved: AI95 2537
Moved: AI97 3855
Moved: AI98 3194
Moved: DocZom 93
Moved: AI102 4523
Moved: AI103 3995
Moved: AI104 496
Moved: AI107 2444
Moved: AI109 3200
Moved: AI110 2695
Moved: AI111 2661
Moved: AI112 2342
Moved: AI113 3616
Moved: AI114 1994
Moved: AI115 2064
Moved: AI116 1237
Moved: AI117 3148
Moved: AI118 3893
Moved: AI120 2721
Moved: AI121 4345
Moved: AI122 1587
Moved: AI124 1175
Moved: AI125 3107
Moved: AI126 2847
Moved: AI128 2692
Moved: AI130 2520
Moved: AI131 2368
Moved: AI132 1107
Moved: AI134 2503
Moved: AI135 2370
Moved: AI136 324
Moved: AI137 3539
Moved: AI138 3362
Moved: AI142 2461
Moved: AI143 1841
Moved: AI144 3541
Moved: AI147 4517
Moved: AI148 3994
Moved: AI149 1644
Round: 9
Moved: AI1 750
Moved: AI2 3114
Moved: AI3 2255
Moved: AI6 3994
Moved: AI7 4183
Moved: AI10 4805
Moved: AI11 1400
Moved: AI12 3790
Moved: AI15 3499
Moved: AI16 3724
Moved: AI19 2319
Moved: AI20 858
Moved: AI21 3480
Moved: AI23 3490
Moved: AI25 3027
Moved: AI27 3706
Moved: AI28 3228
Moved: AI29 4664
Moved: AI30 2310
Moved: AI32 3358
Moved: AI34 1724
Moved: AI35 4322
Moved: AI36 3501
Moved: AI38 4292
Moved: AI39 1201
Moved: AI40 2662
Moved: AI42 4055
Moved: AI43 2287
Moved: AI44 1955
Moved: AI45 3455
Moved: AI46 275
Moved: AI47 2773
Moved: AI48 4387
Moved: AI49 3872
Moved: AI50 2249
Moved: AI51 2084
Moved: AI53 4193
Moved: AI55 3160
Moved: AI57 3556
Moved: AI59 2098
Moved: AI60 2027
Moved: AI61 2793
Moved: AI62 4608
Moved: AI63 2199
Moved: AI65 1497
Moved: AI66 2653
Moved: AI67 3240
Moved: AI69 2091
Moved: AI70 1849
Moved: AI71 2172
Moved: AI72 3511
Moved: AI73 2206
Moved: AI74 1934
Moved: AI75 4195
Moved: AI76 4065
Moved: AI77 4236
Moved: AI78 2238
Moved: AI79 1673
Moved: AI82 601
Moved: AI85 1829
Moved: AI88 2700
Moved: AI89 906
Moved: AI90 1620
Moved: AI91 4037
Moved: AI93 3550
Moved: AI95 2533
Moved: AI97 3831
Moved: AI98 3165
Moved: DocZom 92
Moved: AI102 4510
Moved: AI103 3926
Moved: AI104 487
Moved: AI107 2375
Moved: AI109 3106
Moved: AI111 2656
Moved: AI112 2265
Moved: AI113 3520
Moved: AI114 1962
Moved: AI115 1972
Moved: AI116 1186
Moved: AI117 3117
Moved: AI118 3806
Moved: AI120 2616
Moved: AI121 4309
Moved: AI122 1551
Moved: AI124 1153
Moved: AI125 3071
Moved: AI126 2831
Moved: AI128 2603
Moved: AI131 2328
Moved: AI132 1083
Moved: AI134 2489
Moved: AI137 3493
Moved: AI138 3296
Moved: AI142 2375
Moved: AI144 3447
Moved: AI147 4482
Moved: AI148 3989
Moved: AI149 1640
Round: 10
Moved: AI1 746
Moved: AI2 3062
Moved: AI3 2183
Moved: AI6 3883
Moved: AI7 4133
Moved: AI10 4794
Moved: AI12 3769
Moved: AI15 3437
Moved: AI16 3662
Moved: AI19 2260
Moved: AI20 828
Moved: AI21 3410
Moved: AI23 3477
Moved: AI25 2937
Moved: AI27 3691
Moved: AI28 3222
Moved: AI29 4639
Moved: AI30 2259
Moved: AI32 3235
Moved: AI34 1661
Moved: AI35 4321
Moved: AI36 3458
Moved: AI38 4285
Moved: AI39 1165
Moved: AI40 2543
Moved: AI42 4024
Moved: AI43 2263
Moved: AI45 3400
Moved: AI46 273
Moved: AI48 4324
Moved: AI49 3835
Moved: AI50 2231
Moved: AI51 2017
Moved: AI53 4081
Moved: AI55 3057
Moved: AI57 3421
Moved: AI59 2072
Moved: AI60 1974
Moved: AI61 2754
Moved: AI62 4590
Moved: AI65 1494
Moved: AI67 3209
Moved: AI69 2057
Moved: AI70 1821
Moved: AI71 2143
Moved: AI72 3489
Moved: AI73 2126
Moved: AI74 1882
Moved: AI75 4112
Moved: AI76 4027
Moved: AI77 4138
Moved: AI78 2174
Moved: AI79 1654
Moved: AI82 590
Moved: AI85 1778
Moved: AI88 2662
Moved: AI89 883
Moved: AI90 1619
Moved: AI91 3921
Moved: AI93 3431
Moved: AI95 2528
Moved: AI97 3808
Moved: AI98 3136
Moved: DocZom 91
Moved: AI102 4500
Moved: AI103 3864
Moved: AI104 477
Moved: AI107 2287
Moved: AI109 3019
Moved: AI111 2649
Moved: AI112 2202
Moved: AI113 3424
Moved: AI114 1921
Moved: AI117 3089
Moved: AI118 3682
Moved: AI121 4272
Moved: AI122 1509
Moved: AI124 1133
Moved: AI125 3031
Moved: AI126 2817
Moved: AI128 2504
Moved: AI131 2288
Moved: AI132 1062
Moved: AI134 2475
Moved: AI137 3453
Moved: AI138 3222
Moved: AI142 2305
Moved: AI144 3352
Moved: AI147 4446
Moved: AI148 3984
Moved: AI149 1636
Round: 11
Moved: AI1 741
Moved: AI2 3024
Moved: AI6 3750
Moved: AI7 4075
Moved: AI10 4785
Moved: AI12 3744
Moved: AI15 3379
Moved: AI16 3600
Moved: AI19 2204
Moved: AI20 796
Moved: AI21 3314
Moved: AI23 3462
Moved: AI27 3673
Moved: AI28 3215
Moved: AI29 4615
Moved: AI30 2196
Moved: AI32 3138
Moved: AI35 4320
Moved: AI36 3416
Moved: AI38 4277
Moved: AI39 1135
Moved: AI42 4001
Moved: AI43 2243
Moved: AI45 3341
Moved: AI46 271
Moved: AI48 4268
Moved: AI49 3783
Moved: AI50 2214
Moved: AI51 1967
Moved: AI53 3990
Moved: AI55 2972
Moved: AI57 3321
Moved: AI59 2053
Moved: AI60 1931
Moved: AI61 2711
Moved: AI62 4572
Moved: AI65 1491
Moved: AI67 3179
Moved: AI69 2025
Moved: AI70 1787
Moved: AI71 2119
Moved: AI72 3469
Moved: AI74 1810
Moved: AI75 4005
Moved: AI76 3988
Moved: AI77 4043
Moved: AI78 2102
Moved: AI79 1633
Moved: AI82 580
Moved: AI85 1714
Moved: AI88 2616
Moved: AI89 861
Moved: AI90 1618
Moved: AI91 3802
Moved: AI93 3349
Moved: AI95 2523
Moved: AI97 3789
Moved: AI98 3108
Moved: DocZom 90
Moved: AI102 4489
Moved: AI103 3787
Moved: AI104 467
Moved: AI107 2216
Moved: AI109 2920
Moved: AI111 2644
Moved: AI112 2122
Moved: AI113 3330
Moved: AI114 1880
Moved: AI117 3055
Moved: AI118 3557
Moved: AI121 4224
Moved: AI122 1475
Moved: AI124 1116
Moved: AI125 2983
Moved: AI126 2803
Moved: AI131 2248
Moved: AI132 1038
Moved: AI134 2462
Moved: AI137 3412
Moved: AI138 3171
Moved: AI144 3251
Moved: AI147 4402
Moved: AI148 3979
Moved: AI149 1632
Round: 12
Moved: AI1 737
Moved: AI2 2981
Moved: AI6 3636
Moved: AI7 4002
Moved: AI10 4776
Moved: AI12 3724
Moved: AI15 3322
Moved: AI16 3528
Moved: AI19 2154
Moved: AI21 3225
Moved: AI23 3447
Moved: AI27 3653
Moved: AI28 3210
Moved: AI29 4591
Moved: AI30 2142
Moved: AI35 4319
Moved: AI36 3373
Moved: AI38 4270
Moved: AI39 1107
Moved: AI42 3975
Moved: AI43 2223
